Samples,Temperature,Salinity,pH,Oxygen,Ammonia ,Phosphates,Nitrates,Nitrites,TSS
S1Dry2023-9,25.84,35.7,8.12,5.9,10,3.13,5.27,1.39,14.2
S2Dry2023-9,26.2,35.3,8.22,7.26,10,2,2.1,0.7,27.6
S1Rainy2023-1,30,29.3,8.6,6.05,10,4.7,12.5,0.7,12.2
S1Rainy2023-2,30.2,30,8.6,6.92,10,3.32,11.9,0.7,11.1
S1Rainy2023-3,30.4,30.4,8.6,5.62,10,3.26,11.1,0.7,11
S1Rainy2023-4,30,29.3,8.6,6.05,10,4.7,12.5,0.7,12.2
S1Rainy2023-5,30.2,30,8.6,6.92,10,3.32,11.9,0.7,11.1
S1Rainy2023-6,30.4,30.4,8.6,5.62,10,3.26,11.1,0.7,11
S1Rainy2023-7,30,29.3,8.6,6.05,10,4.7,12.5,0.7,12.2
S1Rainy2023-8,30.2,30,8.6,6.92,10,3.32,11.9,0.7,11.1
S2Rainy2023-1,30.2,31.2,8.56,8.2,10,4.5,9.78,0.7,23.1
S2Rainy2023-2,30.2,31.2,8.72,8.25,10,4.53,13.8,0.7,14.3
S2Rainy2023-3,30.1,30.7,8.7,7.56,10,4.57,9.99,0.7,34.2
S2Rainy2023-4,30.2,31.2,8.56,8.2,10,4.5,9.78,0.7,23.1
S2Rainy2023-5,30.2,31.2,8.72,8.25,10,4.53,13.8,0.7,14.3
S2Rainy2023-6,30.1,30.7,8.7,7.56,10,4.57,9.99,0.7,34.2
S2Rainy2023-7,30.2,31.2,8.56,8.2,10,4.5,9.78,0.7,23.1
S2Rainy2023-8,30.2,31.2,8.72,8.25,10,4.53,13.8,0.7,14.3
S1Rainy2023-9,30.4,30.4,8.6,5.62,10,3.26,11.1,0.7,11
S2Rainy2023-9,30.1,30.7,8.7,7.56,10,4.57,9.99,0.7,34.2
