Code,Sample,Sample_ID,Year,Season,Season_Year,Site,Health_Status,Algae_Touching,Source,Temperature,Salinity,pH,Oxygen,Ammonia ,Phosphates,Nitrates,Nitrites,TSS
1256-412,Ma-21,S1SAEMLl,2022,Rainy,Rainy_2022,Protected,Stressed,Algae_No,Mucus,28.3,29.4,8.43,4.22,10,3.32,11.9,0.7,11.1
1256-413,Ma-22,S1SAETLl,2022,Rainy,Rainy_2022,Protected,Stressed,Algae_No,Tissue,28.3,29.9,8.45,4.3,10,3.26,11.1,0.7,11
1256-414,Ma-23,S1CAEMLl,2022,Rainy,Rainy_2022,Protected,Stressed,Algae_Yes,Mucus,28.2,29.9,8.4,4.29,10,4.7,12.5,0.7,12.2
1256-415,Ma-24,S1CAETLl,2022,Rainy,Rainy_2022,Protected,Stressed,Algae_Yes,Tissue,28.3,29.4,8.43,4.22,10,3.32,11.9,0.7,11.1
1256-416,Ma-25,S2SASMLl,2022,Rainy,Rainy_2022,Urban,Healthy,Algae_No,Mucus,28.4,29.8,8.3,4.16,10,4.5,9.78,0.7,23.1
1256-417,Ma-26,S2SASTLl,2022,Rainy,Rainy_2022,Urban,Healthy,Algae_No,Tissue,28.7,29.9,8.43,4.44,10,4.53,13.8,0.7,14.3
1256-418,Ma-27,S2CASMLl,2022,Rainy,Rainy_2022,Urban,Healthy,Algae_Yes,Mucus,28.2,29.7,8.45,4.3,10,4.57,9.99,0.7,34.2
1256-419,Ma-28,S2CASTLl,2022,Rainy,Rainy_2022,Urban,Healthy,Algae_Yes,Tissue,28.4,29.8,8.3,4.16,10,4.5,9.78,0.7,23.1
1256-420,Ma-29,S2SAEMLl,2022,Rainy,Rainy_2022,Urban,Stressed,Algae_No,Mucus,28.7,29.9,8.43,4.44,10,4.53,13.8,0.7,14.3
1256-421,Ma-30,S2SAETLl,2022,Rainy,Rainy_2022,Urban,Stressed,Algae_No,Tissue,28.2,29.7,8.45,4.3,10,4.57,9.99,0.7,34.2
1256-422,Ma-31,S2CAEMLl,2022,Rainy,Rainy_2022,Urban,Stressed,Algae_Yes,Mucus,28.4,29.8,8.3,4.16,10,4.5,9.78,0.7,23.1
1256-423,Ma-32,S2CAETLl,2022,Rainy,Rainy_2022,Urban,Stressed,Algae_Yes,Tissue,28.7,29.9,8.43,4.44,10,4.53,13.8,0.7,14.3
1256-424,Ma-33,S1Agua,2022,Dry,Dry_2022,Protected,NA,NA,Water,26.5,36.2,8.63,6.3,11.6,2,7.25,1.58,3.57
1256-425,Ma-34,S2Agua,2022,Dry,Dry_2022,Urban,NA,NA,Water,26.4,36.4,8.39,5.22,13.4,2.83,21.6,1.56,1.62
1256-426,Ma-35,S1AguaLl,2022,Rainy,Rainy_2022,Protected,NA,NA,Water,28.3,29.9,8.45,4.3,10,3.26,11.1,0.7,11
1256-427,Ma-36,S2AguaLl,2022,Rainy,Rainy_2022,Urban,NA,NA,Water,28.2,29.7,8.45,4.3,10,4.57,9.99,0.7,34.2
1256-428,Ma-37,SISASM,2023,Dry,Dry_2023,Protected,Healthy,Algae_No,Mucus,26,35.7,8.12,5.9,11.4,4.64,5.16,1.56,15.9
1256-429,Ma-38,SISAST,2023,Dry,Dry_2023,Protected,Healthy,Algae_No,Tissue,26.4,35.29,8.13,6.07,10,3.28,6.6,1.35,13
1256-430,Ma-39,SICASM,2023,Dry,Dry_2023,Protected,Healthy,Algae_Yes,Mucus,25.84,35.7,8.12,5.9,10,3.13,5.27,1.39,14.2
1256-431,Ma-40,SICAST,2023,Dry,Dry_2023,Protected,Healthy,Algae_Yes,Tissue,26,35.7,8.12,5.9,11.4,4.64,5.16,1.56,15.9
1256-432,Ma-41,SISAEM,2023,Dry,Dry_2023,Protected,Stressed,Algae_No,Mucus,26.4,35.29,8.13,6.07,10,3.28,6.6,1.35,13
1256-433,Ma-42,SISAET,2023,Dry,Dry_2023,Protected,Stressed,Algae_No,Tissue,25.84,35.7,8.12,5.9,10,3.13,5.27,1.39,14.2
1256-434,Ma-43,SICAEM,2023,Dry,Dry_2023,Protected,Stressed,Algae_Yes,Mucus,26,35.7,8.12,5.9,11.4,4.64,5.16,1.56,15.9
1256-435,Ma-44,SICAET,2023,Dry,Dry_2023,Protected,Stressed,Algae_Yes,Tissue,26.4,35.29,8.13,6.07,10,3.28,6.6,1.35,13
1256-436,Ma-45,SIISASM,2023,Dry,Dry_2023,Urban,Healthy,Algae_No,Mucus,26.4,35.6,8.01,6.71,10,2.56,2.1,0.7,15
1256-437,Ma-46,SIISAST,2023,Dry,Dry_2023,Urban,Healthy,Algae_No,Tissue,26.4,35.4,8.17,6.79,10,3.91,2.1,0.7,14.7
1256-438,Ma-47,SIICASM,2023,Dry,Dry_2023,Urban,Healthy,Algae_Yes,Mucus,26.2,35.3,8.22,7.26,10,2,2.1,0.7,27.6
1256-439,Ma-48,SIICAST,2023,Dry,Dry_2023,Urban,Healthy,Algae_Yes,Tissue,26.4,35.6,8.01,6.71,10,2.56,2.1,0.7,15
1256-440,Ma-49,SIISAEM,2023,Dry,Dry_2023,Urban,Stressed,Algae_No,Mucus,26.4,35.4,8.17,6.79,10,3.91,2.1,0.7,14.7
1256-441,Ma-50,SIISAET,2023,Dry,Dry_2023,Urban,Stressed,Algae_No,Tissue,26.2,35.3,8.22,7.26,10,2,2.1,0.7,27.6
1256-442,Ma-51,SIICAEM,2023,Dry,Dry_2023,Urban,Stressed,Algae_Yes,Mucus,26.4,35.6,8.01,6.71,10,2.56,2.1,0.7,15
1256-443,Ma-52,SIICAET,2023,Dry,Dry_2023,Urban,Stressed,Algae_Yes,Tissue,26.4,35.4,8.17,6.79,10,3.91,2.1,0.7,14.7
1256-444,Ma-53,SIAgua,2023,Dry,Dry_2023,Protected,NA,NA,Water,25.84,35.7,8.12,5.9,10,3.13,5.27,1.39,14.2
1256-445,Ma-54,SIIAgua,2023,Dry,Dry_2023,Urban,NA,NA,Water,26.2,35.3,8.22,7.26,10,2,2.1,0.7,27.6
1256-446,Ma-55,SISASMLl,2023,Rainy,Rainy_2023,Protected,Healthy,Algae_No,Mucus,30,29.3,8.6,6.05,10,2,32.6,0.7,3.93
1256-447,Ma-56,SISASTLl,2023,Rainy,Rainy_2023,Protected,Healthy,Algae_No,Tissue,30.2,30,8.6,6.92,13.3,2,17.7,0.7,4.01
1256-448,Ma-57,SICASMLl,2023,Rainy,Rainy_2023,Protected,Healthy,Algae_Yes,Mucus,30.4,30.4,8.6,5.62,10,2,10.8,0.96,4.25
1256-449,Ma-58,SICASTLl,2023,Rainy,Rainy_2023,Protected,Healthy,Algae_Yes,Tissue,30,29.3,8.6,6.05,10,2,32.6,0.7,3.93
1256-450,Ma-59,SISAEMLl,2023,Rainy,Rainy_2023,Protected,Stressed,Algae_No,Mucus,30.2,30,8.6,6.92,13.3,2,17.7,0.7,4.01
1256-451,Ma-60,SISAETLl,2023,Rainy,Rainy_2023,Protected,Stressed,Algae_No,Tissue,30.4,30.4,8.6,5.62,10,2,10.8,0.96,4.25
1256-452,Ma-61,SICAEMLl,2023,Rainy,Rainy_2023,Protected,Stressed,Algae_Yes,Mucus,30,29.3,8.6,6.05,10,2,32.6,0.7,3.93
1256-453,Ma-62,SICAETLl,2023,Rainy,Rainy_2023,Protected,Stressed,Algae_Yes,Tissue,30.2,30,8.6,6.92,13.3,2,17.7,0.7,4.01
1256-454,Ma-63,SIISASMLl,2023,Rainy,Rainy_2023,Urban,Healthy,Algae_No,Mucus,30.2,31.2,8.56,8.2,10,2,13.2,0.7,3.39
1256-455,Ma-64,SIISASTLl,2023,Rainy,Rainy_2023,Urban,Healthy,Algae_No,Tissue,30.2,31.2,8.72,8.25,10,2,2.14,0.7,3.3
1256-456,Ma-65,SIICASMLl,2023,Rainy,Rainy_2023,Urban,Healthy,Algae_Yes,Mucus,30.1,30.7,8.7,7.56,10,2,3.1,0.7,3.28
1256-457,Ma-66,SIICASTLl,2023,Rainy,Rainy_2023,Urban,Healthy,Algae_Yes,Tissue,30.2,31.2,8.56,8.2,10,2,13.2,0.7,3.39
1256-458,Ma-67,SIISAEMLl,2023,Rainy,Rainy_2023,Urban,Stressed,Algae_No,Mucus,30.2,31.2,8.72,8.25,10,2,2.14,0.7,3.3
1256-459,Ma-68,SIISAETLl,2023,Rainy,Rainy_2023,Urban,Stressed,Algae_No,Tissue,30.1,30.7,8.7,7.56,10,2,3.1,0.7,3.28
1256-460,Ma-69,SIICAEMLl,2023,Rainy,Rainy_2023,Urban,Stressed,Algae_Yes,Mucus,30.2,31.2,8.56,8.2,10,2,13.2,0.7,3.39
1256-461,Ma-70,SIICAETLl,2023,Rainy,Rainy_2023,Urban,Stressed,Algae_Yes,Tissue,30.2,31.2,8.72,8.25,10,2,2.14,0.7,3.3
1256-462,Ma-71,SIAguaLl,2023,Rainy,Rainy_2023,Protected,NA,NA,Water,30.4,30.4,8.6,5.62,10,2,10.8,0.96,4.25
1256-463,Ma-72,SIIAguarLl,2023,Rainy,Rainy_2023,Urban,NA,NA,Water,30.1,30.7,8.7,7.56,10,2,3.1,0.7,3.28
